timestamp,L_raw,R_raw,L_norm,R_norm,L_smooth,R_smooth,anomaly
1751358415.122387,0,0,0.00,0.00,0.00,0.00,False
1751358415.2397785,0,0,0.00,0.00,0.00,0.00,False
1751358415.3524706,0,0,0.00,0.00,0.00,0.00,False
1751358415.4577787,0,0,0.00,0.00,0.00,0.00,False
1751358415.5624988,0,0,0.00,0.00,0.00,0.00,False
1751358415.7570748,0,0,0.00,0.00,0.00,0.00,False
1751358415.9133916,0,0,0.00,0.00,0.00,0.00,False
1751358416.026857,0,0,0.00,0.00,0.00,0.00,False
1751358416.1611967,0,0,0.00,0.00,0.00,0.00,False
1751358416.271135,0,0,0.00,0.00,0.00,0.00,False
1751358416.3907373,0,0,0.00,0.00,0.00,0.00,False
1751358416.4964569,0,0,0.00,0.00,0.00,0.00,False
1751358416.603013,0,0,0.00,0.00,0.00,0.00,False
1751358416.7112536,0,0,0.00,0.00,0.00,0.00,False
1751358416.8291707,0,0,0.00,0.00,0.00,0.00,False
1751358416.9698045,0,0,0.00,0.00,0.00,0.00,False
1751358417.1415985,0,0,0.00,0.00,0.00,0.00,False
1751358417.3077197,0,0,0.00,0.00,0.00,0.00,False
1751358417.408497,0,0,0.00,0.00,0.00,0.00,False
1751358417.5209885,0,0,0.00,0.00,0.00,0.00,False
1751358417.624232,0,0,0.00,0.00,0.00,0.00,False
1751358417.7236304,0,0,0.00,0.00,0.00,0.00,False
1751358417.833867,0,0,0.00,0.00,0.00,0.00,False
1751358417.9328668,0,0,0.00,0.00,0.00,0.00,False
1751358418.0283432,0,0,0.00,0.00,0.00,0.00,False
1751358418.130996,0,0,0.00,0.00,0.00,0.00,False
1751358418.2392108,0,0,0.00,0.00,0.00,0.00,False
1751358418.3983946,0,0,0.00,0.00,0.00,0.00,False
1751358418.5352545,0,0,0.00,0.00,0.00,0.00,False
1751358418.6808867,0,0,0.00,0.00,0.00,0.00,False
1751358418.8085613,0,0,0.00,0.00,0.00,0.00,False
1751358418.9183297,0,0,0.00,0.00,0.00,0.00,False
1751358419.0291185,0,0,0.00,0.00,0.00,0.00,False
1751358419.1370747,0,0,0.00,0.00,0.00,0.00,False
1751358419.245062,0,0,0.00,0.00,0.00,0.00,False
1751358419.3578155,0,0,0.00,0.00,0.00,0.00,False
1751358419.4698923,0,0,0.00,0.00,0.00,0.00,False
1751358419.5769641,0,0,0.00,0.00,0.00,0.00,False
1751358419.6862824,0,0,0.00,0.00,0.00,0.00,False
